批號,Packing,品項,A6倉-包
26#4-0527,2026.05.13,PRSRM-GO-C,7
26#17-0623,2026.05.13,PRRER-YK-C,15
26#17-0623,2026.05.14,PRSTL-YK-C,8
26#17-0623,2026.05.13,PRSRL-YK-C,7
26#17-0623,2026.09.14,CHRER-YK-C,1
26#17-0623,2026.05.14,CHTDL-YK-C,11
26#42-0604,2026.04.14,PRTDL-SS-C,5
26#48-0626,2026.05.01~2026.05.28,PRRER-SS-C,2
26#42-0604,2026.04.13~2026.04.14,PRSRM-SS-C,2
26#42-0604,2026.04.16,CHSRM-SS-C,19
26#7-0529,2026.05.08,ACTDL-TY-C,12
26#9-0616,2026.05.20,GFTDL-TY-C,12
26#7-0529,2026.05.08,ACRER-TY-C,12
26#9-0616,2026.05.20~2026.05.25,GFRER-TY-C,30
26#7-0529,2026.05.08,ACSRL-TY-C,3
26#9-0616,2026.05.21~2026.05.22,GFOB-TY-C,12
26#25-0625,2026.08.07,A5TDL-GB-C,1
26#5-0519,2026.05.05,RFM-KR-C,8
26#5-0519,2026.05.05,M45FKS-KR-C,80
26#5-0519,2026.04.30,M45TDL-KR-C,15
26#5-0519,2026.05.05,M67FKS-KR-C,20
26#5-0519,2026.05.05,M89CER-KR-C,4
26#5-0519,2026.05.05,M89OB-KR-C,4
26#5-0519,2026.05.05,M89SRM-KR-C,3
