批號,Packing,品項,A6倉-包
26#5-0701,2026.06.18~2026.06.22,PRRER-GO-C,17
26#6-0721,2026.07.13~2026.07.14,PRRER-GO-C,192
26#6-0721,2026.07.13,PRRERB-GO-C,8
26#5-0701,2026.06.18,PRTDL-GO-C,5
26#6-0721,2026.06.18~2026.07.09,PRTDL-GO-C,68
26#5-0701,2026.06.22,CHRER-GO-C,6
26#17-0623,2026.05.14,PRSTL-YK-C,6
26#17-0623,2026.05.14,CHRER-YK-C,1
26#54-0716,2026.06.05,PRRER-SS-C,10
26#60-0723,2026.05.29,PRRER-SS-C,7
26#60-0723,2026.05.29,PRSRL-SS-C,20
26#54-0716,2026.06.05,PRSRM-SS-C,61
26#60-0723,2026.05.27~2026.06.02,PRTDL-SS-C,16
26#54-0716,2026.06.08,CHSRM-SS-C,48
26#56-0717,2026.05.04,CHTDL-SS-C,7
26#9-0616,2026.05.20,GFTDL-TY-C,12
26#9-0616,2026.05.20~2026.05.25,GFRER-TY-C,15
26#9-0616,2026.05.21~2026.05.22,GFOB-TY-C,6
26#25-0625,2026.08.07,A5TDL-GB-C,1
26#5-0519,2026.05.05,RFM-KR-C,8
26#5-0519,2026.05.05,M45FKS-KR-C,51
26#5-0519,2026.04.30,M45TDL-KR-C,8
26#5-0519,2026.05.05,M45BSTT-KR-C,5
26#5-0519,2026.05.05,M67FKS-KR-C,13
26#5-0519,2026.05.05,M89CER-KR-C,1
26#5-0519,2026.05.05,M89OB-KR-C,1
26#6-0706,2026.06.25,OST-KR-C,16
26#6-0706,2026.06.11,M45BSTT-KR-C,6
26#6-0706,2026.06.11,M45OB-KR-C,10
26#6-0706,2026.06.22,M89RER-KR-C,2
26#6-0706,2026.06.22,M89OB-KR-C,6
26#6-0706,2026.06.22,M89RPC-KR-C,6
26#6-0706,2026.06.22,M89SRL-KR-C,5
