品項,總量,批號,製造日/到期日
1/1/00,0,,
BH2-4入,0,,
BH5-4入,0,,
BY12,15,BY26#1,2027-01-05
BY12S-15入,400,BY26#3,2027.01.22
BY92S-15入,275,BY26#2,2026-12-10
PGR24-16入,60,PG26#3,2026-12-26
PGR24-16入,80,PG26#4,2027-02-27
PGR30-14入,5,PG26#2,2026-11-07
PGR30-14入,66,PG26#3,2027-01-09
PGR30-14入,70,PG26#4,2027-03-06
PGS1-10入,93,PG26#3,2026-11-30
PGS1-10入,200,PG26#4,2027-01-31
PGS3-12入,258,PG26#3,2027-02-01
PGS3-12入,240,PG26#4,2027-03-04
PGS4-18入,5,PG26#2,2026-11-16
PGS4-18入,105,PG26#3,2026-12-28
PGS4-18入,90,PG26#4,2027-02-16
PDE12-2入,1,PG26#2,2026-11-17
PGE22-2入,2,PG26#3,2027.01.05
PGW30-1入,3,PG26#4,2027-09-02
PGW36-1入,1,PG26#3,2027.07.13
PGW36-1開8,8,PG26#3,2027.07.13
GRW1-36入,384,GR25#1,2026.11.26
GRW2-36入,103,GR25#1,2026.11.07
GRW2-36入,538,GR25#1,2026.11.27
GRS200-21入,65,GR25#1,2026.10.10
CZPJ125-8入,19,CZ26#1,2026.12.31
CZPF125-8入,1,CZ26#1,2026.12.31
CZPV125-8入,107,CZ26#1,2026.12.31
CZAG125-8入,117,CZ26#1,2026.12.31
CZBR125-8入,65,CZ26#1,2026.12.31
CZPR125-8入,112,CZ26#1,2026.12.31
CZBA125-8入,60,CZ26#1,2026.12.31
CZCD125-8入,225,CZ26#1,2026.12.31
CZED125-8入,254,CZ26#1,2026.12.31
PTB1,1,PT26#2,2026-11-10
PTB2,2,PT26#2,2026-12-10
PTMA1-12入,52,PT26#2,2026-12-04
PTMA4-12入,56,PT26#2,2026-11-28
VC401-12入,10,VC26#1,2027.01.19
VC401-12入,141,PT26#2,2027-05-14
VC402-12入,24,PT26#2,2027-05-18
VC405-12入,30,PT26#2,2027-05-20
VC407-12入,5,VC26#1,2027.01.19
VC407-12入,40,PT26#2,2027-05-14
VC408-12入,22,VC26#1,2027.01.19
VC408-12入,60,PT26#2,2027-05-14
GDC1-10入,23,GD25#1,2035.11.27
GDT1-10入,133,GD25#1,2035.10.15
GDF125-12入,189,GD25#1,2035.12.09
GDT250-12入,246,GD25#1,2035.10.13
SA5S500,45,SA25#1-0709,2029-02-25~29-03-24
SA5S500-6入,2357,SA26#1-0604,2030-02-17~02-23
SA5S180-12入,26,SA26#1-0604,2030-01-29
SA5S80,4,SA25#3-1013,2029-06-17
SA5S80,12,SA26#2-11509,2029-06-05
SANS500,17,SA25#3-1013,2029.06.17~2029.06.24
SANS500,600,SA26#2-11509,2029-06-13~06-30
SANS80,1,SA25#3-1013,2029-06-24
SABM180-12入,36,SA26#1-0604,2030-02-19
SABM500-6入,12,SA26#1-0604,2030-02-19
SABW30-12入,19,SA26#1-0604,2030-02-23
SABO251-12入,36,SA26#1-0604,2029-02-24
SAWO251-12入,173,SA26#1-0604,2029-02-24
CF6S500-6入,404,CF25#1-11411,2029-08-26
CF6S90-6入,8,CF25#1-11411,2029-08-06
IA5A90,16,25#1-11409,2029-02-24
IA5A500,297,25#1-11409,2029-03-24~06-03
IAWC60,10,25#1-11409,2028-02-13
IAWV100,133,25#1-11409,2027-06-04
IAWO251,76,25#1-11409,2028-03-26~28-06-09
IABS500,53,26#1,2030-04-01
MM1-12入,237,MM26#1,2027-06-12
MM2-12入,225,MM26#1,2027-06-16
MM3-12入,225,MM26#1,2027-06-11
MM4-12入,237,MM26#1,2027-06-11
MM5-12入,225,MM26#1,2027-06-11
MM6-12入,237,MM26#1,2027-06-11
BM1-12入,799,BM26#1,2027-10-01
BMG-12入,175,BM26#1,2027-04-17
BMF-12入,175,BM26#1,2027-11-16
BMH-12入,79,BM26#1,2027-09-29
BMB-12入,79,BM26#1,2027-08-05
BM750-6入,388,BM26#1,2027-10-28
帶籽綠JLWGO34-12入,6,24#1,2027-01-01
綠香草JLWQO34-12入,17,24#1,2026-12-01
綠大蒜JLPQG35-12入,16,24#1,2026-10-15
大蒜JLOG37-12入,117,24#1,2027-01-15
JLWGON,8,25#1,2028-02-13
JLWBO,6,25#1,2028-02-13
JLPQO,8,25#1,2028-02-19
帶籽BRM210,0,BR25#1SFR,2026-09-18
帶籽BRM210,73,25#2-0226,2027-02-25
去籽BRD210,64,25#2-0226,2026-11-24
橄欖油-CE500-6入,151,DE26#1,2028-03-31
橄欖油-BE250-12入,272,DE26#1,2027-09-12
MFV25-6入,599,MF26#1,2031-12-16
MFV10-6入,300,MF26#1,2031-11-05
MFR250(精選)-6入,538,MF26#1,2031-04-28
油漬剃刀貝-CG3,0,21#2-11012,2026-09-15
沾版,17,,
JO48模型,9,,
