品項,總量,批號,製造日/到期日
BH1-4入,0,SB26#4,2026.07-14
BH2-4入,0,SB26#4,2026.07-14
BH5-4入,0,,
JOP24S,36,JO25#4-11410,2026-07-01
JO48S,7,JO25#4-11410,2026-07-08
JOA-10入,11,JO25#3-11407,2026-11-19
BY12,36,BY26#1,2027-01-05
BY12S-15入,870,BY26#2,2026-12-09
BY92S-15入,1083,BY26#2,2026-12-10
PGR24-16入,19,PG25#7,2026-06-20
PGR24-16入,,PG26#2,2026-10-03
PGR30-14入,26,PG26#1,2026.08.22
PGR30-14入,,PG26#2,2026-11-07
PGS1-10入,21,PG26#1,2026.07.31
PGS1-10入,,PG26#2,2026-10-15
PGS3-12入,156,PG25#7,2026-06-26
PGS3-12入,55,PG26#1,2026.09.15
PGS3-12入,,PG26#2,2026-11-20
PGS4-18入,5,PG25#7,2026-06-16
PGS4-18入,66,PG26#1,2026.08.17
PGS4-18入,,PG26#2,2026-11-16
PDE12-2入,,PG26#2,2026-11-17
PGE22-2入,3,PG26#1,2026.08.22
PTB1-16入,0,PT24#3,2025-05-16
PTMA4-12入,0,PT24#3,2025-05-20
GRS1-15入,140,GR25#1,2026.08.10
GRS2-15入,144,GR25#1,2026.07.19
GRW1-36入,0,GR25#1,2026.10.17
GRW1-36入,487,GR25#1,2026.11.26
GRW2-36入,119,GR25#1,2026.11.07
GRW2-36入,538,GR25#1,2026.11.27
GRW3-12入,3,GR25#1,2026.10.24
GRS200-21入,80,GR25#1,2026.10.10
GRP100-30入,117,GR25#1,2026.07.23
GRS6-24入,61,GR25#1,2026.08.07
CZPJ125-8入,161,CZ26#1,2026.12.31
CZPF125-8入,51,CZ26#1,2026.12.31
CZPV125-8入,164,CZ26#1,2026.12.31
CZAG125-8入,200,CZ26#1,2026.12.31
CZBR125-8入,186,CZ26#1,2026.12.31
CZPR125-8入,161,CZ26#1,2026.12.31
CZBA125-8入,119,CZ26#1,2026.12.31
CZCD125-8入,405,CZ26#1,2026.12.31
CZED125-8入,400,CZ26#1,2026.12.31
PTB1,,PT26#2,2026-11-10
PTB2,,PT26#2,2026-12-10
PTMA1-12入,10,PT26#1,2026.08.24
PTMA1-12入,,PT26#2,2026-12-04
PTMA3-12入,2,PT26#1,2026.08.20
PTMA3-12入,,PT26#2,2026-11-30
PTMA4-12入,1,PT26#1,2026.08.17
PTMA4-12入,,PT26#2,2026-11-28
VC401-12入,71,VC26#1,2027.01.19
VC401-12入,,PT26#2,2027-05-14
VC402-12入,,PT26#2,2027-05-18
VC405-12入,45,VC26#1,2027.01.19
VC405-12入,,PT26#2,2027-05-20
VC407-12入,18,25#4-11411,2026-10-24
VC407-12入,38,VC26#1,2027.01.19
VC407-12入,,PT26#2,2027-05-14
VC408-12入,64,VC26#1,2027.01.19
VC408-12入,,PT26#2,2027-05-14
RA500-12入,12,GY26#1,2026-07-04
GDC1-10入,16,GD25#1,2035.11.27
GDT1-10入,139,GD25#1,2035.10.15
GDF125-12入,230,GD25#1,2035.12.09
GDT250-12入,277,GD25#1,2035.10.13
SA5S500,479,SA25#1-0709,2029-02-25~29-03-24
SA5S500-6入,,SA26#1-0604,2030-02-17~02-23
SA5S180-12入,,SA26#1-0604,2030-01-29
SA5S80,7,SA25#3-1013,2029-06-17
SANS500,136,SA25#3-1013,2029.06.17~2029.06.24
SANS80,11,SA25#3-1013,2029-06-24
SABM180-12入,,SA26#1-0604,2030-02-19
SABM500-6入,,SA26#1-0604,2030-02-19
SABW30-12入,,SA26#1-0604,2030-02-23
SABO251-12入,,SA26#1-0604,2029-02-24
SAWO251-12入,,SA26#1-0604,2029-02-24
CF6S500-6入,176,CF25#1-11411,2029-08-26
CF6S90-6入,12,CF25#1-11411,2029-08-06
IA5A90,19,25#1-11409,2029-02-24
IA5A500,249,25#1-11409,2029-03-24~06-03
IABS500,0,23#1,2027-05-08
IAWC60,10,25#1-11409,2028-02-13
IAWV100,140,25#1-11409,2027-06-04
IAWO251,140,25#1-11409,2028-03-26~28-06-09
帶籽綠JLWGO34-12入,9,24#1,2027-01-01
綠香草JLWQO34-12入,19,24#1,2026-12-01
綠大蒜JLPQG35-12入,17,24#1,2026-10-15
辣椒JLCP34-12入,6,24#1,2026-07-01
大蒜JLOG37-12入,117,24#1,2027-01-15
綠橄欖JLPQO35-12入,10,25#1,2028-02-15
JLWGON,11,25#1,2028-02-13
JLWBO,9,25#1,2028-02-13
JLPQO,11,25#1,2028-02-19
帶籽BRM210,159,BR25#1SFR,2026-09-18
帶籽BRM210,246,25#2-0226,2027-02-25
去籽BRD210,2,BR25#1SFR,2026-06-16
去籽BRD210,160,25#2-0226,2026-11-24
橄欖油-CE500-6入,741,DE26#1,2028-03-31
橄欖油-BE250-12入,381,DE26#1,2027-09-12
墨汁魷魚塊-CG2,180,21#2-11012,2026-08-21
油漬剃刀貝-CG3,328,21#2-11012,2026-09-15
沾版,17,,
JO48模型,9,,
