品項,總量,批號,製造日/到期日
18-20B,0,,
20-24B,22,,
24-26B,1,,
26-28B,30,,
28-30B,35,,
30-34B,0,,
34-38B,-2,,
38B,0,(散貨*6.5K)17P,
35B,60,,
21B,6,,
10Q,57,,
12Q,90,,
W,54,,
TQ,10,,
36TQ,49,,
37TQ,0,,
12S,9,,
13S,9,,
60S,41,,
TS,7,,
TS300,0,,
PS(5入),11,,
12PS(4入),2,,
13PS,2,,
SL,3,,
C規,0,,
A規,0,(散貨*3隻),
L13(S規),0,,
L16,0,,
L17,3,,
L18,0,,
L19,1,,
L20,1,,
EP1-(10入),399,EP25#4CA,2027-05-15~2027-07-31
EP350-(9入),253,EP25#4CA,2027-5-20~06-10
EP335-(9入),356,EP25#4CA,2027-04-17~07-31
T-8入,21,,
14Z-7入,52,,
QB,1,,
QC12,6,,
G,1,,
FR8-8入,279,FL26#1,2027-10-09~2028-05-11
FRT-6入,99,FL26#1,2029-02-04~2029-02-11
EF-DCC,158,26#1-11503,2027-10-02
DCC-(切1公分)-單位包,13,1150826S,2027.10.02
SPC-7入,317,AD25#5-11503,2027-12-08~2028-01-16
SPC-7入,35,AD26#1,2028-04-08~04-27
SPB2-8入,99,25#4-11412,2027-11-20
SPB2-8入,40,AD26#1,2028-05-01
SPB2-(切1公分)-單位包,8,1150826S,2027.11.20
SPT-10入,79,AD25#2-11407,2027-06-11
SPT-10入,198,AD25#5-11503,2028-01-09
SPR10-2入,1,AD25#5-11503,2028-01-15~01-16
SPR10-2入,10,AD26#1,2028-05-01
SPR10-(延骨切)-單位根,9,1150826S,2028.01.15
SPL-4入,19,AD26#1,2028-05-11~05-19
SPK-3入,15,AD26#1,2028-04-28~04-30
ADC-7入,154,AD25#5-11503,2028-01-07~15
ADC-7入,35,AD26#1,2028-04-28~05-12
ADB2-8入,232,AD25#5-11503,2027-12-23~31
ADB2-8入,40,AD26#1,2028-04-22~05-01
ADHS-4入,50,AD25#5-11503,2027-12-17~2028-01-06
ADSL-12入,109,AD26#1,2028-05-01~05-12
ADJM-5入,16,AD25#5-11503,2027-12-16~17
ADJM-5入,22,AD26#1,2028-04-22
ADK-3入,25,AD25#3-11410,2027-08-27~2027-09-29
ADS-3入,29,AD26#1,2027-12-18~2028-05-06
ADR8-5入,39,AD25#5-11503,2027-12-10~2028-01-22
ADR8-5入,25,AD26#1,2028-04-15~04-28
ADC1,14,AD26#1,2028-05-14
ADSL1,119,AD26#1,2028-05-14~05-19
ADR81,61,AD26#1,2028-05-11~05-19
ADRM,26,AD26#1,2027-05-14
AD3,19,AD26#1,2027-03-16~04-30
CKC2,36,CK25#4-11408,2027-04-11~05-08
CEJM,13,CE24#3-11501,2027-03-15~07-09
